nombre_modelo,regresores_features,horizonte_meses,MAE,MAPE,folds,observaciones,mejora_vs_baseline
prophet_ipim_nivel_general,ipim_nivel_general,6,1090.93,13.75,4,std_mape_folds=9.77; std_mae_folds=608.52; baseline_obligatorio,0.00 pp
prophet_ipim_cac_general,ipim_nivel_general + general,6,1100.42,14.25,4,std_mape_folds=12.44; std_mae_folds=815.10,-0.49 pp
prophet_cac_labour_force,labour_force,6,1202.60,14.29,4,std_mape_folds=4.42; std_mae_folds=202.73,-0.53 pp
prophet_ipim_cac_materials,ipim_nivel_general + materials,6,1208.04,15.22,4,std_mape_folds=13.27; std_mae_folds=885.17,-1.47 pp
prophet_cac_materials,materials,6,1319.54,16.71,4,std_mape_folds=12.12; std_mae_folds=793.22,-2.96 pp
prophet_ipim_nivel_general_variaciones,ipim_nivel_general + var_1m_pct + var_3m_pct + var_6m_pct,6,1623.02,19.87,4,std_mape_folds=14.57; std_mae_folds=1151.19,-6.11 pp
prophet_icc_var_general,icc_var_general,6,1893.57,24.97,4,std_mape_folds=22.65; std_mae_folds=1380.10,-11.21 pp
prophet_icc_var_materials,icc_var_materials,6,1869.59,25.01,4,std_mape_folds=23.82; std_mae_folds=1469.80,-11.26 pp
prophet_cac_var_general,var_general,6,1885.47,25.11,4,std_mape_folds=23.86; std_mae_folds=1464.01,-11.36 pp
prophet_cac_var_materials,var_materials,6,1887.56,25.30,4,std_mape_folds=24.43; std_mae_folds=1504.56,-11.55 pp
prophet_icc_var_labour,icc_var_labour,6,1962.72,25.64,4,std_mape_folds=20.59; std_mae_folds=1277.93,-11.89 pp
prophet_cac_var_labour,var_labour,6,1996.45,25.94,4,std_mape_folds=20.21; std_mae_folds=1248.00,-12.19 pp
sarimax_ipim_nivel_general,ipim_nivel_general,6,-,-,0,Experimento opcional omitido: statsmodels no esta instalado.,skip
xgboost_temporal_ipim,ipim_nivel_general + lags + medias_moviles + variaciones + month_sin/cos + time_idx,6,-,-,0,Experimento opcional omitido: xgboost no esta instalado.,skip
ensemble_simple_top2,"promedio(prophet_ipim_icc_var_materials, prophet_ipim_nivel_general_lags)",12,1085.64,13.42,2,std_mape_folds=8.59; std_mae_folds=611.79; ensemble_simple_top2=prophet_ipim_icc_var_materials+prophet_ipim_nivel_general_lags,+6.43 pp
prophet_ipim_icc_var_materials,ipim_nivel_general + icc_var_materials,12,1080.42,13.57,2,std_mape_folds=9.37; std_mae_folds=672.20,+6.28 pp
prophet_ipim_nivel_general_lags,ipim_nivel_general + lag_1m + lag_3m + lag_6m,12,1137.75,13.76,2,std_mape_folds=7.31; std_mae_folds=504.48,+6.09 pp
