fecha,empresa,numero_comprobante,articulo,precio_original,precio_normalizado,moneda,origen_dato,metodo_estimacion,observaciones_origen
2022-01-31,HOLCIM,0280-00134618,CEMENTO CPC40 BOL 50 KG,627.76,12.5551,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-01-31,HOLCIM,0280-00134619,CEMENTO CPC40 BOL 50 KG,627.76,12.5551,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-01-31,HOLCIM,0280-00134620,CEMENTO CPC40 BOL 50 KG,627.76,12.5551,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-02-01,HOLCIM,0280-00134673,CEMENTO CPC40 BOL 50 KG,627.76,12.5551,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-02-01,HOLCIM,0280-00134674,CEMENTO CPC40 BOL 50 KG,627.76,12.5551,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-02-01,HOLCIM,0280-00134675,CEMENTO CPC40 BOL 50 KG,627.76,12.5551,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-02-01,HOLCIM,0280-00134676,CEMENTO CPC40 BOL 50 KG,627.76,12.5551,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-02-02,HOLCIM,0280-00134694,CEMENTO CPC40 BOL 50 KG,627.76,12.5551,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-02-02,HOLCIM,0280-00134695,CEMENTO CPC40 BOL 50 KG,627.76,12.5551,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-02-02,HOLCIM,0280-00134696,CEMENTO CPC40 BOL 50 KG,627.76,12.5551,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-02-02,HOLCIM,0280-00134697,CEMENTO CPC40 BOL 50 KG,627.39,12.5478,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-02-03,HOLCIM,0280-00134735,CEMENTO CPC40 BOL 50 KG,627.76,12.5551,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-02-03,HOLCIM,0280-00134736,CEMENTO CPC40 BOL 50 KG,627.76,12.5551,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-02-03,HOLCIM,0280-00134737,CEMENTO CPC40 BOL 50 KG,627.76,12.5551,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-02-03,HOLCIM,0280-00134738,CEMENTO CPC40 BOL 50 KG,627.76,12.5551,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-02-04,HOLCIM,0280-00134767,CEMENTO CPC40 BOL 50 KG,627.76,12.5551,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-02-04,HOLCIM,0280-00134768,CEMENTO CPC40 BOL 50 KG,627.76,12.5551,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-02-04,HOLCIM,0280-00134769,CEMENTO CPC40 BOL 50 KG,627.76,12.5551,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-02-04,HOLCIM,0280-00134770,CEMENTO CPC40 BOL 50 KG,627.76,12.5551,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-02-05,HOLCIM,0280-00134791,CEMENTO CPC40 BOL 50 KG,627.76,12.5551,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-02-05,HOLCIM,0280-00134792,CEMENTO CPC40 BOL 50 KG,627.76,12.5551,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-02-07,HOLCIM,0280-00134833,CEMENTO CPC40 BOL 50 KG,627.76,12.5551,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-02-07,HOLCIM,0280-00134834,CEMENTO CPC40 BOL 50 KG,627.76,12.5551,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-02-07,HOLCIM,0280-00134835,CEMENTO CPC40 BOL 50 KG,627.76,12.5551,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-02-08,HOLCIM,0280-00134858,CEMENTO CPC40 BOL 50 KG,627.76,12.5551,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
